Name	Summary	Owner
ruby-mysql	A Ruby interface to MySQL	fuel-library
ruby-rdoc	A tool to generate documentation from Ruby source files	
ruby-rgen	Ruby Modeling and Generator Framework	fuel-library
ruby-ri	Ruby interactive reference	
ruby-shadow	Ruby bindings for shadow password access	fuel-library
ruby21-augeas	Ruby bindings for augeas	asilenkov
ruby21-facter	Ruby module for collecting simple facts about a host operating system	asilenkov
ruby21-hiera	A simple pluggable Hierarchical Database	asilenkov
ruby21-mcollective	A framework to build server orchestration or parallel job execution systems	fuel-library
ruby21-mcollective-common	Common libraries for the mcollective clients and servers	fuel-library
ruby21-nailgun-mcagents	MCollective Agents	fuel-library
ruby21-puppet	A network tool for managing many disparate systems	asilenkov
ruby21-rubygem-activesupport	A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.	fuel-library
ruby21-rubygem-amq-client	amq-client is a fully-featured, low-level AMQP 0.9.1 client	fuel-library
ruby21-rubygem-amq-protocol	AMQP 0.9.1 encoder & decoder	fuel-library
ruby21-rubygem-amqp	Widely used, feature-rich asynchronous RabbitMQ client with batteries included	fuel-library
ruby21-rubygem-astute	Orchestrator for OpenStack deployment	fuel-library
ruby21-rubygem-eventmachine	Ruby/EventMachine library	fuel-library
ruby21-rubygem-i18n	New wave Internationalization support for Ruby	fuel-library
ruby21-rubygem-json	A JSON implementation in Ruby	asilenkov
ruby21-rubygem-json_pure	JSON Implementation for Ruby	asilenkov
ruby21-rubygem-mcollective-client	Client libraries for the Mcollective Application Server	fuel-library
ruby21-rubygem-mime-types	Return the MIME Content-Type for a given filename	fuel-library
ruby21-rubygem-net-ssh	Net::SSH: a pure-Ruby implementation of the SSH2 client protocol.	fuel-library
ruby21-rubygem-net-ssh-gateway	A simple library to assist in establishing tunneled Net::SSH connections	fuel-library
ruby21-rubygem-net-ssh-multi	Control multiple Net::SSH connections via a single interface.	fuel-library
ruby21-rubygem-netaddr	A package for manipulating network addresses.	asilenkov
ruby21-rubygem-open4	Manage child processes and their IO handles easily	fuel-library
ruby21-rubygem-openstack	Ruby Openstack Compute and Object-Store bindings	asilenkov
ruby21-rubygem-Platform	Hopefully robust platform sensing	fuel-library
ruby21-rubygem-popen4	Open4 cross-platform	fuel-library
ruby21-rubygem-raemon	Raemon is a Ruby framework for building UNIX daemons	fuel-library
ruby21-rubygem-rest-client	Simple REST client for Ruby	fuel-library
ruby21-rubygem-rgen	Ruby Modelling and Generator Framework	asilenkov
ruby21-rubygem-shadow	Ruby bindings for shadow password access	asilenkov
ruby21-rubygem-stomp	Ruby client for the Stomp messaging protocol	fuel-library
ruby21-rubygem-symboltable	A Symbols-only Hash for Ruby	fuel-library
ruby21-rubygem-systemu	systemu	fuel-library
rubygem-abstract	a library which enable you to define abstract method in Ruby	fuel-library
rubygem-activesupport	A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.	fuel-library
rubygem-arel	Arel is a Relational Algebra for Ruby	fuel-library
rubygem-builder	Builders for MarkUp.	fuel-library
rubygem-bundler	The best way to manage your application's dependencies	fuel-library
rubygem-bunny	Synchronous Ruby AMQP 0.8.0 client	fuel-library
rubygem-cstruct	CStruct is a simulation of the C language's struct.	fuel-library
rubygem-daemons	A toolkit to create and control daemons in different ways	fuel-library
rubygem-erubis	a fast and extensible eRuby implementation which supports multi-language	fuel-library
rubygem-eventmachine	Ruby/EventMachine library	fuel-library
rubygem-eventmachine-doc	Documentation for rubygem-eventmachine	fuel-library
rubygem-extlib	Support library for DataMapper and Merb	fuel-library
rubygem-extlib-doc	Documentation for rubygem-extlib	fuel-library
rubygem-fastthread	Optimized replacement for thread.rb primitives	fuel-library
rubygem-gem_plugin	A plugin system based only on rubygems that uses dependencies only	fuel-library
rubygem-highline	HighLine is a high-level command-line IO library.	fuel-library
rubygem-httpclient	HTTP Client interface for ruby	fuel-library
rubygem-httpclient-doc	Documentation for rubygem-httpclient	fuel-library
rubygem-i18n	New wave Internationalization support for Ruby	fuel-library
rubygem-ipaddress	IPv4/IPv6 addresses manipulation library	fuel-library
rubygem-ipaddress-doc	Documentation for rubygem-ipaddress	fuel-library
rubygem-json_pure	JSON Implementation for Ruby	fuel-library
rubygem-json_pure-doc	Documentation for rubygem-json_pure	fuel-library
rubygem-json-doc	Documentation for rubygem-json	fuel-library
rubygem-mail	Mail provides a nice Ruby DSL for making, sending and reading emails.	fuel-library
rubygem-mime-types	Return the MIME Content-Type for a given filename	fuel-library
rubygem-mime-types-doc	Documentation for rubygem-mime-types	fuel-library
rubygem-mixlib-authentication	Mixes in simple per-request authentication	fuel-library
rubygem-mixlib-cli	Simple Ruby mix-in for CLI interfaces	fuel-library
rubygem-mixlib-cli-doc	Documentation for rubygem-mixlib-cli	fuel-library
rubygem-mixlib-config	A class based config mixin, similar to the one found in Chef.	fuel-library
rubygem-mixlib-log	A gem that provides a simple mixin for log functionality	fuel-library
rubygem-mixlib-shellout	Run external commands on Unix or Windows	fuel-library
rubygem-moneta	A unified interface to key/value stores	fuel-library
rubygem-mongrel	A small fast HTTP library and server for Ruby apps	fuel-library
rubygem-net-ssh	Net::SSH: a pure-Ruby implementation of the SSH2 client protocol.	fuel-library
rubygem-net-ssh-gateway	A simple library to assist in establishing tunneled Net::SSH connections	fuel-library
rubygem-net-ssh-multi	Control multiple Net::SSH connections via a single interface.	fuel-library
rubygem-netaddr	A package for manipulating network addresses.	fuel-library
rubygem-ohai	Profiles your system and emits JSON	fuel-library
rubygem-openstack	Ruby Openstack Compute and Object-Store bindings	fuel-library
rubygem-polyglot	Augment 'require' to load non-Ruby file types	fuel-library
rubygem-rack	Common API for connecting web frameworks, web servers and layers of software	fuel-library
rubygem-rack-mount	Stackable dynamic tree based Rack router	fuel-library
rubygem-rack-test	Simple testing API built on Rack	fuel-library
rubygem-raemon	Raemon is a Ruby framework for building UNIX daemons	fuel-library
rubygem-rest-client	Simple REST client for Ruby	fuel-library
rubygem-rethtool	Partial Ruby wrapper around the SIOCETHTOOL ioctl	fuel-library
rubygem-stomp	Ruby client for the Stomp messaging protocol	fuel-library
rubygem-stomp-doc	Documentation for rubygem-stomp	fuel-library
rubygem-symboltable	A Symbols-only Hash for Ruby	fuel-library
rubygem-systemu	systemu	fuel-library
rubygem-thin	A thin and fast web server	fuel-library
rubygem-thin-doc	Documentation for rubygem-thin	fuel-library
rubygem-treetop	A Ruby-based text parsing and interpretation DSL	fuel-library
rubygem-tzinfo	Daylight-savings aware timezone library	fuel-library
rubygem-uuidtools	UUID generator	fuel-library
rubygem-yajl-ruby	Ruby C bindings to the excellent Yajl JSON stream-based parser library	fuel-library
sahara	Apache Hadoop cluster management on OpenStack	mos-dat
saslwrapper	Ruby and Python wrappers for the cyrus sasl library.	?
scapy	Interactive packet manipulation tool and network scanner	mos-dat
scsi-target-utils	The SCSI target daemon and utility programs	mos-linux
send2syslog	Simplify sending of messages to syslog system	?
setools-libs-python	Python bindings for SELinux policy analysis	
sheepdog	The Sheepdog Distributed Storage System for KVM/QEMU	?
shotgun	Shotgun package	fuel-xxx
sphinxcontrib-actdiag	Sphinx actdiag extension	?
sphinxcontrib-blockdiag	Sphinx blockdiag extension	?
sphinxcontrib-nwdiag	Sphinx nwdiag and rackdiag extension	?
sphinxcontrib-seqdiag	Sphinx seqdiag extension	?
subscription-manager	Tools and libraries for subscription and repository management	?
supervisor	A System for Allowing the Control of Process State on UNIX	?
system-config-network-tui	The Network Adminstration Tool	
tcptraceroute	A traceroute implementation using TCP packets	mos-linux
tinyproxy	A small, efficient HTTP/SSL proxy daemon	?
tunctl	Create and remove virtual network interfaces	
udev	A userspace implementation of devfs	
upstart	An event-driven init system	
uwsgi-plugin-common	uWSGI - Common plugins for uWSGI	?
uwsgi-plugin-python	uWSGI - Plugin for Python support	?
v8	JavaScript Engine	?
vconfig	Linux 802.1q VLAN configuration utility	?
web-assets-filesystem	The basic directory layout for Web Assets	?
whatmask	Convert between different netmask types and show information	?
wireless-tools	Wireless ethernet configuration tools	?
wxBase	Non-GUI support classes from the wxWidgets library	?
wxGTK	GTK2 port of the wxWidgets GUI library	?
wxGTK-gl	OpenGL add-on for the wxWidgets library	?
zabbix	Enterprise-class open source distributed monitoring solution.	?
zabbix-agent	Zabbix Agent	?
zabbix-sender	Zabbix Sender	?
zabbix-server	Zabbix server common files	?
zabbix-server-mysql	Zabbix server compiled to use MySQL database	?
zabbix-server-pgsql	Zabbix server compiled to use PostgresSQL database	?
zabbix-web	Zabbix Web Frontend	?
zabbix-web-mysql	Zabbix web frontend for MySQL	?
zabbix-web-pgsql	Zabbix web frontend for PostgreSQL	?
zd1211-firmware	Firmware for wireless devices based on zd1211 chipset	
zeromq	Software library for fast, message-based applications	?
zeromq3	Software library for fast, message-based applications	?
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
